speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
14400	16	11291.183768407933	 11296.12456077598	11301.593802627147	11320.658569500674	10976.71052954406	29.474801092741473	0.0	639.2918127215684	25.284220627133603
15000	16	11678.420855515438	 11682.789572180876	-1	11705.20455239175	11481.41385799829	26.783696876311296	0.0	517.9053654618388	22.757534257072727
16000	16	12444.002588719186	 12450.624118738404	12450.624118738404	12468.262430618453	9890.768459837878	24.259841899267485	0.0	7032.564704213902	83.86038817113776
17000	16	13213.36400154022	 13219.188732671804	-1	13235.809674079188	12964.138703757366	22.44567253896821	0.0	841.2099598815413	29.003619772048133
18000	16	13978.070494821166	 13983.562420232854	13983.198208053342	14003.988627174793	13647.294338951167	25.91813235362679	0.0	956.9752100329508	30.935015921006908
19000	16	14724.169659569458	 14732.20218429285	14737.459496554942	14761.772718524018	13507.20587717312	37.603058954560765	0.0	2757.267492881233	52.50968951423378
19200	16	15008.730710657004	 15019.888988361683	15014.008389730969	15052.736836202546	14533.199209550365	44.00612554554209	0.0	2723.365694867086	52.185876392632196
20000	16	15485.91827188775	 15496.346139414058	15495.898862783582	15519.191536104527	15132.075650384735	33.273264216777534	0.0	2095.6155446774146	45.777893624296595
21000	16	16244.786477007927	 16253.547031576398	16248.136069245204	16299.933570149073	15387.529721983376	55.14709314114589	0.0	3031.386719869639	55.05803047575929
22000	16	17014.336823678586	 17031.085620023474	-1	17067.90373549515	11476.750507706449	53.56691181656424	0.0	33398.28280031428	182.7519707152683
23000	16	17766.528384949954	 17781.892951775306	17788.963286944996	17827.358857712105	17360.417526273242	60.83047276215075	0.0	3849.8817697689055	62.047415496287236
24000	16	18503.373415279155	 18514.0669011656	18510.875150846463	18551.812847714158	18173.7555262178	48.439432435003255	0.0	2293.129354202187	47.88663022391727
25000	16	19268.303724562018	 19298.019841840403	19306.34752589183	19328.589861751152	13733.523790033767	60.286137189134024	0.0	78090.50433366254	279.4467826504047
26000	16	20044.632009765395	 20060.941334728344	-1	20111.29095336205	15460.645413966882	66.65894359665617	0.0	25372.049754563108	159.2860626500734
27000	16	20777.897604355567	 20787.196035157005	20786.391203345207	20837.217620803414	20185.393540624882	59.32001644784759	0.0	3255.7523838239986	57.059200693875816
28000	16	21514.01740712651	 21527.363246321023	21529.08978626138	21600.117159525245	19603.129660057693	86.09975239873529	0.0	7182.2794177639125	84.74832988185615
28800	16	22373.685713295312	 22431.30742876243	22435.99448368089	22504.649228705566	15677.351788582275	130.96351541025433	0.0	116915.91272040446	341.92968973226715
29000	16	22268.136224153535	 22281.424029881717	-1	22726.618634381746	21066.153109672356	458.48241022821094	0.0	12523.15012110122	111.90688147339831
30000	16	22976.488113664018	 22993.315002783846	23025.85829473323	23511.90820705965	22243.574411667218	535.4200933956308	0.0	12974.852122686241	113.90720838773217
31000	16	23764.902170705074	 23796.414697930057	-1	23875.785466512498	18674.42039723121	110.88329580742356	0.0	38120.303889516246	195.2442160206449
32000	16	24488.229456942892	 24525.852535404294	24539.304872474633	24585.37857764345	16060.515495991385	97.14912070055652	0.0	103882.53400486257	322.30813518256497
33000	16	25258.556920064628	 25282.35987756063	-1	25373.170376671864	24236.870209019908	114.613456607236	0.0	13691.630315228458	117.01124012345335
34000	16	26010.986272768838	 26028.842819742073	-1	26132.73520249221	25188.651215163743	121.7489297233733	0.0	10426.32728619672	102.10938882491031
35000	16	26717.988457268104	 26748.588112201684	26745.922981118914	26869.071217656772	21467.966730646192	151.08276038866825	0.0	43805.93112871185	209.29866489949677
36000	16	27441.488000568053	 27465.642400368342	27469.858370855505	27565.76874101458	23307.75861769558	124.28074044652749	0.0	28784.339929198075	169.6594822849524
37000	16	28188.26623206082	 28216.26698901561	28225.167551653434	28327.929084001687	26815.38944108686	139.66285194086595	0.0	20097.951508966293	141.76724413264967
38000	16	28996.06700130813	 29010.640440938074	-1	29149.251384515148	27922.760285015862	153.18438320701898	0.0	9661.864671768048	98.29478456036234
38400	16	29727.40088571803	 29802.981680914843	29791.405138449587	29947.615998214984	19943.939670864445	220.21511249695322	0.0	266258.3862632077	516.0023122653694
39000	16	29655.065377514304	 29713.90923179101	-1	29832.791286952655	15738.937937908593	177.72590943835166	0.0	254344.23814084782	504.3255279488119
40000	16	30468.64503818248	 30504.89573188559	30521.37077885162	30606.630864830968	22858.215693788054	137.985826648488	0.0	107354.10137772364	327.64935735893584
41000	16	31263.771449077114	 31166.313247416696	-1	32109.504306220097	23246.196665945008	845.7328571429825	0.0	162950.676692592	403.67149601203204
42000	16	31858.994951091096	 31911.01474084641	-1	32036.69363885905	19411.755143363345	177.69868776795556	0.0	187944.80910098812	433.5260189434864
43000	16	32766.975456488482	 32612.73915684607	32551.44073243194	33621.6753507014	30276.951951274532	854.6998942129176	0.0	211458.5850648164	459.84626242344996
44000	16	33746.762213356495	 33422.82960841686	33368.817950152275	34428.043606515326	31033.000693641618	681.2813931588316	0.0	259666.37089299993	509.5746960878257
45000	16	34200.74981879611	 34071.89896553913	34054.60907072629	35176.96972873804	32443.2506647329	976.2199099419304	0.0	162676.73277927705	403.33203787856604
46000	16	34946.61010732392	 34834.60368543991	34850.43245699448	36009.853913743376	29483.82184633972	1063.2438064194575	0.0	239407.0051509598	489.2923514126905
47000	16	35709.2526061676	 35500.291741056666	35493.250826391646	36716.65380932841	34104.36488375047	1007.4012031608072	0.0	240024.1156950281	489.9225609165474
48000	16	36408.80527030741	 36264.035436008104	-1	37496.22237742702	33893.36565656566	1087.4171071196033	0.0	240535.33990613103	490.4440232137925
49000	16	37032.419795269416	 36987.31739579745	36997.51305905865	38263.19663602024	35353.01672593178	1230.7768407508265	0.0	138460.45372334484	372.10274619161953
50000	16	38611.82199850433	 38853.011434360975	38853.011434360975	39065.0448955832	24268.64261820812	453.22289707887103	0.0	462308.0864581052	679.9324131545026
51000	16	39659.48176145045	 39668.310329540414	39685.904198699	39827.21899109792	38529.56164776805	167.7372296474714	0.0	10455.246724877086	102.2509008511763
52000	16	39436.83279433973	 39204.82780779903	39193.379471455686	40628.94747994551	29211.10571848305	1192.1146856057821	0.0	450319.87766180467	671.0587736270235
53000	16	39809.87181968343	 39806.54793504856	39809.49962924514	41313.65232781839	37194.880975474574	1503.780508134958	0.0	146226.44786929118	382.39566926063793
54000	16	40731.72909001619	 40567.546622336406	40475.79252110977	42133.95950400251	37569.692932120364	1402.230413986319	0.0	409585.461643093	639.9886418078785
55000	16	42129.04464020317	 42652.80940653055	42707.09665102219	42881.06325878594	39377.35895555229	752.018618582777	0.0	567769.3855385351	753.5047349144762
56000	16	41970.87262951075	 42008.67856025039	41933.21190346013	43648.04162601626	39201.96509675064	1677.168996505512	0.0	140026.35572470637	374.200956338578
57000	16	44093.02878844369	 44312.73269071693	44329.19758896871	44564.69760106251	22668.08444519507	471.66881261881645	0.0	781831.7276898163	884.2124901231696
57600	16	44026.578540900235	 44340.18103733069	44362.164270368536	44557.30035687609	19721.949599588566	530.7218159758559	0.0	1940215.761330283	1392.9162793686787
58000	16	44974.33703913066	 45045.17455593056	45058.406378514475	45267.36188870152	30220.70993526597	293.02484957085835	0.0	357956.432704296	598.2946036061967
59000	16	44969.73139327785	 45745.64689843218	-1	46039.86896492582	41592.106600557796	1070.1375716479743	0.0	1216858.8310817978	1103.1132449036218
60000	16	44893.030721879535	 44780.29126699475	44813.932554257095	46777.983096628035	25559.196000952154	1884.9523747485	0.0	1188674.9871700248	1090.2637236788285
61000	16	47345.30035649143	 47370.266294164816	47397.44963361879	47569.636009214955	45733.956214328304	224.3356527235228	0.0	32567.436781869226	180.46450283052684
62000	16	46493.378576402974	 46202.316006884685	46162.58916595013	48284.100368738196	43077.1814169943	1790.7217923352218	0.0	756985.5675775282	870.049175378914
63000	16	47596.40684190866	 47029.9954474144	46884.19456815998	49029.30703196347	44002.205720842554	1432.90019005481	0.0	972916.730922481	986.3654145003671
64000	16	49212.33002162355	 49581.7244181751	49586.30386995474	49876.524712002974	44609.13269630245	664.1946903794233	0.0	682648.6618498759	826.2255514385137
65000	16	48569.68446826254	 48331.91501620454	-1	50614.77439426794	23780.603827073	2045.0899260053993	0.0	1788663.560754321	1337.40927197112
66000	16	50305.213041215364	 51140.3040579158	51223.25274305887	51513.232776818266	44081.69077921012	1208.019735602902	0.0	1274564.0716271114	1128.96593023311
67000	16	51867.64007249124	 51906.69167552934	51931.79647900948	52184.1866251944	49381.0625459897	316.5465527031629	0.0	58148.61998674209	241.1402496198884
68000	16	52292.823366288634	 52352.11233544612	52377.649951219515	52680.88627220096	41858.01590519258	388.0629059123239	0.0	233349.06207617422	483.06217206087894
69000	16	51396.09481321943	 51135.433088865604	-1	53687.0912	47456.10465835764	2290.996386780571	0.0	807657.8825804673	898.6978817046735
70000	16	52111.46823981375	 51946.8710208031	51891.640440750045	54295.19741100324	25059.321882001495	2183.729171189487	0.0	1901720.7365918828	1379.0289107164806
71000	16	52866.54226446022	 52541.6825210413	52464.664516759505	55165.5273325113	48913.16618075802	2298.985068051079	0.0	1041994.3022026126	1020.7812215174281
72000	16	55512.305694404	 55559.444478940284	55542.20070349679	55918.22851786272	48815.3220585561	405.9228234587208	0.0	131345.92052853247	362.4167773827979
73000	16	56396.88292480277	 56450.33525933389	56447.367469246135	56805.72553168977	44384.16931216931	408.84260688700306	0.0	261802.01349596702	511.66591981093194
74000	16	55510.52348776459	 54648.912052117266	54438.34029608599	57376.39328844715	50538.54014873388	1865.869800682558	0.0	1730617.1029243227	1315.5292102132596
75000	16	57656.926890642484	 57902.38481449526	57952.38687392055	58304.83405734144	47069.16640364721	647.9071666989548	0.0	902152.1637969551	949.8169106711857
76000	16	58794.27735387257	 58835.168438356166	58835.168438356166	59224.59040264755	56140.427899194816	430.3130487749804	0.0	76684.03364692419	276.91882140245394
77000	16	59417.43338816781	 59480.491025925105	59473.90185000554	59965.47660002234	55524.967628503466	548.0432118545286	0.0	184274.91973454496	429.27254714754935
78000	16	59699.52844792879	 60119.92295632699	60146.864440959	60519.77364445948	47982.02806327643	820.24519653069	0.0	1416646.462511778	1190.2295839508351
79000	16	60831.82145515941	 60904.244129325016	-1	61363.688650131444	57840.00344753286	531.8671949720374	0.0	189146.48280316236	434.9097409844511
80000	16	61429.52005248197	 61581.889424179855	61638.45143513203	62015.81517846829	37438.69679218968	586.2951259863257	0.0	861083.8948475276	927.9460624667404
81000	16	61385.6155839046	 62376.07900546067	62448.6346399907	62983.44814641013	54537.882161722875	1597.8325625055368	0.0	2241907.440206363	1497.3000501590732
82000	16	63086.163194196044	 63131.5747883349	63087.06368977673	63602.76175808554	48704.6096344008	516.5985638894927	0.0	358347.67887215817	598.6214821338758
83000	16	63645.733249889076	 63780.328350968535	63776.53979567593	64357.577559338286	60444.822337311416	711.8443094492104	0.0	257277.13090342702	507.2249312715484
84000	16	64332.61502408676	 64488.99843843844	64512.24609468877	64965.01839303001	53843.23658609969	632.4033689432545	0.0	578735.198762982	760.746474696388
85000	16	65197.136192645514	 65265.124240213954	65265.124240213954	65768.82420678672	60187.32197309417	571.6880141412112	0.0	247396.3921817056	497.38957787805083
86000	16	66093.05305081958	 66149.69344504683	-1	66642.36742800397	61965.71006463527	549.3143771843897	0.0	161968.47326388382	402.45306964152206
87000	16	67051.0553633736	 67209.67851777666	-1	67726.87170430175	41425.224691358024	675.8163409281551	0.0	1259635.6930955958	1122.3349291078825
88000	16	67166.27861203275	 67310.7963891675	67293.92228628728	67881.01049437349	61167.92890509286	714.7318823407404	0.0	540602.7617180205	735.256935851693
89000	16	68333.16224677401	 68426.06576599542	68391.19898089171	69033.16343062877	53864.84518912411	700.0011838547653	0.0	548250.7485938569	740.4395644438896
90000	16	68910.83037285689	 69059.80344738874	-1	69615.0041493776	58489.04150778952	704.1737765207072	0.0	705318.6124452787	839.8324907059018
91000	16	69911.0271243217	 69977.96037539103	70005.33472421436	70715.34668071654	52805.24363135635	804.3195563948393	0.0	559942.1059730445	748.2927942811186
92000	16	70473.76931099051	 70566.62881177707	70566.62881177707	71127.57180710122	43510.0828268093	653.8024961107149	0.0	1024674.0573178873	1012.2618521498711
93000	16	71559.89416569305	 71745.41119871709	-1	72413.12543835986	38824.91408735898	853.2312726668024	0.0	1608790.5882523188	1268.3810895201484
94000	16	72002.63139134017	 72082.56068743287	-1	72589.36073553273	67058.57007244567	586.7293441925576	0.0	285131.5191824257	533.9770773941759
95000	16	72562.22854701456	 72658.1285694952	72618.81671851751	73403.18731200437	57746.683016026676	840.9587649898167	0.0	629755.1159224751	793.5711158569691
96000	16	73654.1920739828	 73695.3894303363	73675.16289282283	74379.45580493212	54223.907888092115	725.2637309493148	0.0	923905.8497947583	961.2002131682859
97000	16	74238.38795024966	 74312.53575632168	-1	74908.7361518069	68900.27104722793	670.3482015572372	0.0	350121.62659532623	591.7107626157616
98000	16	75154.58868805594	 75244.69684653118	75308.02524898303	75797.10744035014	69759.73388773389	642.5187522941997	0.0	242141.21168815848	492.0784609065494
99000	16	75647.0270298598	 75765.0172170477	75732.9541543236	76444.66922967393	51931.79647900948	797.6421998141304	0.0	1623207.864799142	1274.0517512248637
100000	16	74227.52281143138	 74866.95188955516	74814.78706800446	75615.62140845071	56252.19111483655	1388.0985970193287	0.0	5166248.916374927	2272.9383881607805
101000	16	77084.05463808653	 77437.02754940142	77515.29194340168	77897.69471851422	66999.989017846	813.6400804276927	0.0	1615579.0684697556	1271.0543137371258
102000	16	78105.06618056631	 78329.575722206	78318.14908825675	79032.96216693656	71288.13065993892	927.8959863702476	0.0	1041595.6570740078	1020.5859381130076
103000	16	78869.67429698222	 78998.07416127133	78974.83259782288	79571.79665036312	63332.65447681963	702.1223533808952	0.0	878382.5352318976	937.2206438357499
104000	16	79242.55483554679	 79512.8720379147	79548.21632834493	80201.8093815357	46900.577618590025	959.2545459889079	0.0	2726786.078926531	1651.298301012428
105000	16	80185.88465609116	 80321.8001196888	80309.78489154825	81049.35265700483	44362.164270368536	863.4680009136646	0.0	2768490.5692863315	1663.8781714074896
106000	16	80929.1836436022	 81037.11879245283	81024.88862058557	81902.50373760489	73513.74941804737	973.3200940026873	0.0	747480.9666235197	864.5698159336351
107000	16	81296.96325419769	 81319.4353226295	81331.754582639	81902.50373760489	76816.55630276148	605.540483407196	0.0	139193.8274087884	373.086889891334
108000	16	82473.01152492005	 82646.3842364532	82633.66353701708	83429.82315462315	41543.829760891436	956.8116297031083	0.0	2441626.6599076423	1562.5705295786306
109000	16	83353.78302562369	 83403.90119620941	83416.86016159104	84149.04576802508	77571.29200982516	795.2627424013917	0.0	361670.29043966986	601.3902979261221
110000	16	83902.56659545658	 83991.06883604506	83991.06883604506	84813.73017377566	77081.25082555636	911.1635783190868	0.0	521104.69046083157	721.8758137386454
111000	16	84432.05297140042	 84546.60031496063	84506.67590114906	85177.04458194511	77560.08552441491	744.99161054469	0.0	488348.0527764348	698.8190415096277
112000	16	85560.34669430574	 85598.04081632652	85611.69063945144	86410.89843875745	80732.46796992481	850.5517444517027	0.0	179884.75176459373	424.12822561649176
113000	16	85827.9590009013	 86078.38896905564	86119.81264035932	86900.43897701522	72237.74381054897	1072.4799761139147	0.0	1751227.7682031211	1323.3396269299583
114000	16	86958.63599140164	 86999.0134500081	86900.43897701522	87838.8272251309	81270.19557977596	880.1912337292597	0.0	244948.56615421214	494.9227880732631
115000	16	87529.53328495631	 87795.73376941946	87767.0282818375	88827.08669755129	73979.73156951909	1297.553412594978	0.0	1789078.9218315925	1337.5645486598366
115200	16	86352.98834127808	 86578.11836800516	86703.95865633075	87253.52055907687	76915.60343839541	900.5322177987982	0.0	1079411.6074411692	1038.9473554714739
116000	16	88495.64833575035	 88563.3309138898	88402.91651572534	89418.872751499	81000.43934821968	923.2244157486566	0.0	450956.4065433827	671.5328782296386
