speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
48000	64	33479.13143704656	 33499.471928866704	33502.084992199685	33553.38345676698	32562.7931886761	74.25201972041395	1.0	6465.879064250615	80.41068998740538
49000	64	34179.07601424174	 34207.03814969974	34212.48782042091	34232.66670917554	32907.08788059885	53.59069493379502	1.0	8872.752623244065	94.19528981453406
50000	64	34942.76194016138	 34865.143488002075	34869.67245802617	36046.12004834161	33818.64012598425	1103.358108180233	1.0	139733.41766885796	373.80933330891827
51000	64	35453.060340746626	 35504.40023146234	35501.46549842949	35562.01911007336	27555.1575435625	108.95876932673127	1.0	143517.3858494329	378.8368855449967
52000	64	36130.02642861619	 36160.228463662694	36161.44626679689	36187.648888664204	35549.65646934181	57.62246004801273	1.0	6852.524511441444	82.77997651268961
53000	64	36759.31058443512	 36834.42218829866	36841.37327157317	36864.14062553644	30775.500480087132	104.83004110131878	1.0	208265.67934374596	456.3613473375522
54000	64	37450.0232887165	 37486.40438493899	-1	37515.873798958804	35915.90259566497	65.85051024230779	1.0	11655.185521106341	107.95918451482645
55000	64	38028.06959753392	 38107.03140859566	-1	38163.91768260174	29337.20830601093	135.8480850678243	1.0	298409.0960778611	546.2683370632615
56000	64	38775.005398726644	 38801.063274672066	38809.47786171251	38824.91408735898	33536.091949715	49.908688632334815	1.0	40819.51292883218	202.03839468980192
57000	64	39407.98351923442	 39436.65567267786	39445.3482237978	39470.72339956256	38817.89609920104	62.73988032813941	1.0	6930.6804282708335	83.25070827488997
57600	64	40129.126598860516	 40165.40695021135	40181.18903545701	40222.5819067241	38874.81486576999	93.45530786358722	1.0	13556.196130759592	116.4310788868659
58000	64	40012.968791610576	 40039.59518216057	40042.581540182735	40080.69669086769	38717.11765766415	67.7278992571155	1.0	11959.894427629035	109.36130224000186
59000	64	40734.821347435085	 40773.97372218425	40787.91354226021	40809.616662232525	39646.339918029764	74.79531479744037	1.0	10434.175774154925	102.14781335963548
60000	64	41342.97350002633	 41403.66028495961	41417.23525554484	41441.21281358549	33789.9054032791	98.23931355915556	1.0	105145.23249543394	324.2610560881987
61000	64	41995.839135288996	 42039.92889863357	-1	42076.17163681962	39229.8943753311	80.33250153062545	1.0	27453.182650281324	165.6900197666755
62000	64	42546.37567650801	 42620.641606795536	-1	42669.75933873788	35138.40543238157	123.38366222986951	1.0	95527.0635801591	309.0745275498437
63000	64	43281.9447668472	 43318.74869891475	-1	43359.85720919902	42001.283968002506	77.91244235182239	1.0	13848.868101604074	117.68121388566688
64000	64	43799.21085647066	 43935.58754449855	43975.174018102145	44001.30412867534	27250.25566581225	202.0932722046855	1.0	603349.9352404256	776.756033282282
65000	64	44747.464557102714	 44585.052692770834	44585.052692770834	46531.681827046	37919.968357112586	1784.217269943285	1.0	495103.73431279574	703.6360808776052
66000	64	45129.86793771249	 45206.37521050859	45216.8455982987	45255.914355559304	36063.67487866727	126.04641784681007	1.0	206560.83145917568	454.48963845084046
67000	64	45821.36755657315	 45867.7811999402	-1	45928.602091665416	44687.10770767438	107.23453509226965	1.0	17141.65990058622	130.92616201732264
68000	64	46392.3171992144	 46460.20613560642	46467.243275992645	46510.518236160446	45217.7976922429	118.20103694604768	1.0	32743.30728640762	180.95111850001817
69000	64	47294.76389178568	 47116.671376541315	47120.806775793215	49308.49669360764	40142.88260804546	2013.732801821956	1.0	629548.1789325168	793.4407217508544
70000	64	47637.989354757054	 47698.5395584381	-1	47789.826597828025	37871.81941309255	151.83724307097145	1.0	130964.16477614209	361.8897135539253
71000	64	48209.31093663704	 48300.390184656215	48306.9091890676	48398.36037051227	20594.819828718842	189.04943387523235	1.0	918332.5217380677	958.296677307225
72000	64	48744.184431521295	 48782.609594789785	48788.705198109776	48925.42428177614	46881.12402034624	181.2398502548458	0.112	22980.93912955489	151.59465402696392
73000	64	49384.26603454146	 49449.28728009579	49468.651908502456	49498.2977526795	38391.79862700229	114.03171813803783	0.0	148220.13329751787	384.9936795552855
74000	64	49968.60949892234	 50065.47957829977	50063.72882620352	50123.32293903464	38810.88064772645	154.71344011229667	0.0	431513.4169685348	656.8968084627409
75000	64	50643.33136098312	 50694.82892282996	50704.40459943806	50812.38075858316	47681.59438696212	169.04939760004345	0.0	44519.65832553138	210.99682065266146
76000	64	51973.15695429029	 52063.99612093001	52056.42372675927	52190.527814907524	39976.24021296003	217.37086061723676	0.0	518173.9679034765	719.843016152464
77000	64	52318.44378096155	 52041.28554465043	-1	54696.23676837655	48751.0476276958	2377.7929874149995	0.0	881171.0234238651	938.7071020418803
78000	64	52578.987197043876	 52629.243407509064	52652.47016132987	52683.471076002155	51163.45383937293	104.48387895827909	0.0	22039.167281910763	148.45594390899532
79000	64	53185.6426456427	 53257.04059717779	53323.16062870906	53354.95659519491	21588.39141886322	169.31394955221185	0.0	1035929.017424974	1017.8059822112336
10000	128	7258.544576039119	 7262.127246288594	7262.692130529918	7264.743644780931	6608.007975826354	6.1990687418119705	0.0	867.1086527034627	29.446708690504998
11000	128	7974.292501788922	 7976.338778772755	7977.086912834571	7978.642888457909	7931.55229878265	4.350386668987085	0.0	29.129520079953444	5.397177047304771
12000	128	8689.749584776531	 8691.996009139313	8693.421076494591	8694.54738615016	8620.312573509045	4.797801373628317	0.0	37.10683075162664	6.091537634425863
13000	128	9404.220414177293	 9406.65829150131	9407.19397584556	9409.151802868553	9238.912781417921	4.9313886912605085	0.0	84.20955633106637	9.176576503852969
14000	128	10115.59692973971	 10118.590539104704	10119.472643052028	10122.00060331825	9993.246180084554	6.403673578541202	0.0	84.4652832218248	9.19049961763912
14400	128	10407.570786445593	 10411.15855866775	-1	10416.10736796665	10138.34352132491	8.536581521057087	0.0	230.3939966914645	15.178735016181832
15000	128	10822.70280495634	 10829.496029995033	-1	10834.304003551762	10059.767173757744	11.60119859542283	0.0	1300.1301234606078	36.05731719721543
